,gameid,split,blue_team,red_team,blue_wr,red_wr,result
46,ESPORTSTMNT03_3094541,Spring,Gen.G,Hanwha Life Esports,0.625,0.4444444444444444,1
47,ESPORTSTMNT03_3092604,Spring,Kwangdong Freecs,DRX,0.14285714285714285,0.14285714285714285,0
48,ESPORTSTMNT03_3093593,Spring,Kwangdong Freecs,DRX,0.125,0.25,0
49,ESPORTSTMNT03_3097664,Spring,Liiv SANDBOX,Nongshim RedForce,0.5454545454545454,0.3,1
50,ESPORTSTMNT03_3096700,Spring,Nongshim RedForce,Liiv SANDBOX,0.2727272727272727,0.5833333333333334,0
51,ESPORTSTMNT03_3095781,Spring,Gen.G,Dplus KIA,0.6666666666666666,0.7777777777777778,1
52,ESPORTSTMNT03_3096742,Spring,Gen.G,Dplus KIA,0.7,0.7,1
53,ESPORTSTMNT03_3098196,Spring,DRX,BRION,0.3333333333333333,0.5,0
54,ESPORTSTMNT03_3099119,Spring,BRION,DRX,0.5454545454545454,0.3,0
55,ESPORTSTMNT03_3098225,Spring,DRX,BRION,0.36363636363636365,0.5,0
56,ESPORTSTMNT03_3098229,Spring,Hanwha Life Esports,T1,0.4,0.8,0
57,ESPORTSTMNT03_3100173,Spring,T1,Hanwha Life Esports,0.8181818181818182,0.36363636363636365,0
58,ESPORTSTMNT03_3098275,Spring,Hanwha Life Esports,T1,0.4166666666666667,0.75,1
59,ESPORTSTMNT03_3098573,Spring,KT Rolster,Kwangdong Freecs,0.5454545454545454,0.1111111111111111,0
60,ESPORTSTMNT03_3099542,Spring,Kwangdong Freecs,KT Rolster,0.2,0.5,1
61,ESPORTSTMNT03_3098646,Spring,Gen.G,Liiv SANDBOX,0.7272727272727273,0.6153846153846154,0
62,ESPORTSTMNT03_3100615,Spring,Gen.G,Liiv SANDBOX,0.6666666666666666,0.6428571428571429,1
63,ESPORTSTMNT03_3099594,Spring,Gen.G,Liiv SANDBOX,0.6923076923076923,0.6,1
64,ESPORTSTMNT03_3100826,Spring,Hanwha Life Esports,DRX,0.46153846153846156,0.3333333333333333,0
65,ESPORTSTMNT03_3100863,Spring,DRX,Hanwha Life Esports,0.38461538461538464,0.42857142857142855,0
66,ESPORTSTMNT03_3098932,Spring,Hanwha Life Esports,DRX,0.4666666666666667,0.35714285714285715,1
67,ESPORTSTMNT03_3098936,Spring,T1,Nongshim RedForce,0.6923076923076923,0.25,1
68,ESPORTSTMNT03_3098971,Spring,Nongshim RedForce,T1,0.23076923076923078,0.7142857142857143,1
69,ESPORTSTMNT03_3098980,Spring,T1,Nongshim RedForce,0.6666666666666666,0.2857142857142857,1
70,ESPORTSTMNT03_3099980,Spring,BRION,KT Rolster,0.5384615384615384,0.46153846153846156,0
71,ESPORTSTMNT03_3099998,Spring,KT Rolster,BRION,0.5,0.5,1
72,ESPORTSTMNT03_3103007,Spring,Kwangdong Freecs,Dplus KIA,0.2727272727272727,0.6363636363636364,0
73,ESPORTSTMNT03_3103038,Spring,Kwangdong Freecs,Dplus KIA,0.25,0.6666666666666666,1
74,ESPORTSTMNT03_3102090,Spring,Dplus KIA,Kwangdong Freecs,0.6153846153846154,0.3076923076923077,1
75,ESPORTSTMNT01_3304845,Spring,Liiv SANDBOX,Kwangdong Freecs,0.5625,0.2857142857142857,0
76,ESPORTSTMNT01_3303961,Spring,Kwangdong Freecs,Liiv SANDBOX,0.3333333333333333,0.5294117647058824,0
77,ESPORTSTMNT01_3305848,Spring,Liiv SANDBOX,Kwangdong Freecs,0.5555555555555556,0.3125,1
78,ESPORTSTMNT01_3304899,Spring,T1,BRION,0.6875,0.4666666666666667,1
79,ESPORTSTMNT01_3304926,Spring,BRION,T1,0.4375,0.7058823529411765,0
80,ESPORTSTMNT01_3306459,Spring,Dplus KIA,KT Rolster,0.6428571428571429,0.5333333333333333,1
