,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
98,99,ESPORTSTMNT01_3310923,game_1,T1,DRX,T1,0.4,0.68,0.37,0.63,0.48,0.57,0.32,0.59,0.74,0.21
99,100,ESPORTSTMNT01_3309997,game_2,DRX,T1,T1,0.4,0.68,0.37,0.63,0.48,0.57,0.3,0.59,0.75,0.21
100,101,ESPORTSTMNT02_3148631,game_1,DRX,KT,KT,0.4,0.68,0.37,0.63,0.48,0.59,0.29,0.59,0.75,0.21
101,102,ESPORTSTMNT02_3150633,game_2,KT,DRX,KT,0.4,0.68,0.37,0.63,0.48,0.61,0.27,0.59,0.75,0.21
102,103,ESPORTSTMNT02_3150637,game_1,NS,HLE,HLE,0.4,0.68,0.37,0.63,0.5,0.61,0.27,0.59,0.75,0.2
103,104,ESPORTSTMNT02_3148704,game_2,NS,HLE,HLE,0.4,0.68,0.37,0.63,0.52,0.61,0.27,0.59,0.75,0.19
104,105,ESPORTSTMNT02_3149952,game_1,BRION,DK,DK,0.38,0.68,0.37,0.65,0.52,0.61,0.27,0.59,0.75,0.19
105,106,ESPORTSTMNT02_3150955,game_2,BRION,DK,DK,0.36,0.68,0.37,0.67,0.52,0.61,0.27,0.59,0.75,0.19
106,107,ESPORTSTMNT02_3150959,game_1,KDF,GEN,GEN,0.36,0.7,0.35,0.67,0.52,0.61,0.27,0.59,0.75,0.19
107,108,ESPORTSTMNT02_3151024,game_2,KDF,GEN,KDF,0.36,0.67,0.38,0.67,0.52,0.61,0.27,0.59,0.75,0.19
108,109,ESPORTSTMNT02_3148999,game_3,KDF,GEN,GEN,0.36,0.68,0.36,0.67,0.52,0.61,0.27,0.59,0.75,0.19
109,110,ESPORTSTMNT02_3151319,game_1,LSB,T1,LSB,0.36,0.68,0.36,0.67,0.52,0.61,0.27,0.61,0.71,0.19
110,111,ESPORTSTMNT02_3151356,game_2,T1,LSB,T1,0.36,0.68,0.36,0.67,0.52,0.61,0.27,0.58,0.73,0.19
111,112,ESPORTSTMNT02_3152336,game_3,LSB,T1,T1,0.36,0.68,0.36,0.67,0.52,0.61,0.27,0.56,0.74,0.19
112,113,ESPORTSTMNT02_3151375,game_1,HLE,DRX,HLE,0.36,0.68,0.36,0.67,0.54,0.61,0.26,0.56,0.74,0.19
113,114,ESPORTSTMNT02_3151399,game_2,DRX,HLE,HLE,0.36,0.68,0.36,0.67,0.56,0.61,0.25,0.56,0.74,0.19
114,115,ESPORTSTMNT02_3151678,game_1,KDF,BRION,KDF,0.35,0.68,0.39,0.67,0.56,0.61,0.25,0.56,0.74,0.19
115,116,ESPORTSTMNT02_3153683,game_2,BRION,KDF,BRION,0.38,0.68,0.38,0.67,0.56,0.61,0.25,0.56,0.74,0.19
116,117,ESPORTSTMNT02_3152651,game_3,KDF,BRION,BRION,0.4,0.68,0.36,0.67,0.56,0.61,0.25,0.56,0.74,0.19
117,118,ESPORTSTMNT02_3151708,game_1,NS,KT,KT,0.4,0.68,0.36,0.67,0.56,0.62,0.25,0.56,0.74,0.18
118,119,ESPORTSTMNT02_3151734,game_2,NS,KT,KT,0.4,0.68,0.36,0.67,0.56,0.64,0.25,0.56,0.74,0.17
119,120,ESPORTSTMNT02_3154050,game_1,T1,GEN,GEN,0.4,0.7,0.36,0.67,0.56,0.64,0.25,0.56,0.71,0.17
120,121,ESPORTSTMNT02_3156036,game_2,T1,GEN,T1,0.4,0.67,0.36,0.67,0.56,0.64,0.25,0.56,0.72,0.17
121,122,ESPORTSTMNT02_3155063,game_3,GEN,T1,T1,0.4,0.64,0.36,0.67,0.56,0.64,0.25,0.56,0.73,0.17
122,123,ESPORTSTMNT02_3154086,game_1,DK,LSB,LSB,0.4,0.64,0.36,0.64,0.56,0.64,0.25,0.58,0.73,0.17
123,124,ESPORTSTMNT02_3156083,game_2,DK,LSB,LSB,0.4,0.64,0.36,0.61,0.56,0.64,0.25,0.59,0.73,0.17
124,125,ESPORTSTMNT02_3158638,game_1,NS,GEN,GEN,0.4,0.65,0.36,0.61,0.56,0.64,0.25,0.59,0.73,0.17
125,126,ESPORTSTMNT02_3157736,game_2,NS,GEN,GEN,0.4,0.67,0.36,0.61,0.56,0.64,0.25,0.59,0.73,0.16
126,127,ESPORTSTMNT02_3159649,game_1,KT,DK,DK,0.4,0.67,0.36,0.62,0.56,0.62,0.25,0.59,0.73,0.16
127,128,ESPORTSTMNT02_3158788,game_2,DK,KT,DK,0.4,0.67,0.36,0.64,0.56,0.59,0.25,0.59,0.73,0.16
128,129,ESPORTSTMNT02_3161272,game_1,HLE,BRION,HLE,0.38,0.67,0.36,0.64,0.58,0.59,0.25,0.59,0.73,0.16
